                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   5.26,                 4.1674,                  4.277,                      0,                      0,                      0,                      0,                 5.7014,                 4.1014,                  4.161,                0.00012,                0.00012,                0.00012
                      2,                 5.1468,                 4.0346,                 4.2347,                      0,                      0,                      0,                      0,                 5.7043,                 4.1079,                 4.1626,              0.0001742,              0.0001742,              0.0001742
                      3,                 4.9535,                 3.7965,                 4.1598,                      0,                      0,                      0,                      0,                   5.71,                 4.1177,                 4.1659,               0.000136,               0.000136,               0.000136
